Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason
Index,Unmatched (Index),"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Barberini, Carlo (brother to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Barberini, Monsignor Francesco (uncle to Urban VIII)",E53 Place,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Barberini, Prince Maffeo (son of Taddeo Barberini)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Barberini, Taddeo (nephew to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Baretti, Giuseppe",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),Barnabotti,E74 Group,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Baronio, Cardinal",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bartoli, Pietro Santo",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bartolommeo, Fra",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bassanino, Virgilio",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bassano, Jacopo",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bassi, Francesco (il Cremonese)",E53 Place,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Batoni, Pompeo",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Beccari, Dr",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bedford, John, 4th Duke of",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bellori, Gian Pietro",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bellucci, Giovanni Battista",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bencovich, Federico",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bentivoglio, Ippotilo",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bermis, Cardinal de",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),Bernardine Baccinelli,E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Berreguete, Pedro",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Berrettini, Pietro (Pietro da Cortona)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bianconi, G. L.",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Biffi, Giambattista",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bingley, Lord",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Blainville, Monsieur de",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Boccage, Mme de",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),Bologna,E53 Place,,,,B,Unmatched Index Entry
Index,Unmatched (Index),Bombelli Sebastiano,E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bonati, Giovanni",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Boncampagni, Ugo (Pope Gregory XIII)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),Bonfiglioli collection,E22 Man-Made Object,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Boni, Giacomo Antonio",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),Book illustration,E28 Conceptual Object,,,,B,Unmatched Index Entry
Index,Unmatched (Index),Borghese Palace,E22 Man-Made Object,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Borghese, Camillo (Pope Paul V)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Borgognone, Giacomo (Jacques Courtois)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Borgognone, Guglielmo (Guillaume Courtois)",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Boscarati, Felice",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Boscovich, P.",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bossuet, Jacques-Bénigne",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bottari, Giovanni",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bouchardon, Edmé",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Boucher, François",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bracci, Pietro",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bracciano, Duke of",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bracciano, Paolo Giordano I Orsini, Duke of",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bracciano, Paolo Giordona II Orsini, Duke of",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bramante, Donato",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Bramer, Leonard",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Brand, Johannes Christian",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Breughel, Abram",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Breughel, Velvet",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Breuil, Toussaint du",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Breval, John",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Brienne, Lomenie de",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Brosses, Président Charles De",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Brugiori, Domenico",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Brusasorci, Felice",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Brydges, Grey",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Brühl, Count",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Buckingham, Charles Villiers, Duke of",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Buckingham, John Sheffield, Duke of",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Burlington, Lord",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Byng, Admiral",E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),"Cadani, Stefano",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Caime,E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Camerata, Giuseppe",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Camerino, Giovanni Angelo da",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Canal, Gerolamo",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Canale, Procuratore",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Canaletto,E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Candiani,E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Canons (Duke of Chandos),E53 Place,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Caprara, Marshal",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Capuchins,E74 Group,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Caraboli, Giacomo",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Carandini, Count Camillo",E21 Person,,,,C,Unmatched Index Entry
