Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
Altieri palace,/,located_in,Rome,/,92
"Ameyden, Dirk",/,sponsored,Relatione della citt¨¤ di Roma 1642,/,95
"Amigoni, Jacopo",/,sponsored,Bathsheba,/,97
"Amigoni, Jacopo",/,sponsored,Jupiter,/,98
"Amigoni, Jacopo",/,sponsored,Io,/,98
"Amigoni, Jacopo",/,sponsored,Lot and his Daughters,/,99
"Amigoni, Jacopo",/,sponsored,'Portrait of Farinelli',/,100
"Amigoni, Jacopo",/,created,portrait of Sigismund Streit,/,101
"Amigoni, Jacopo",/,sponsored,Sacrifice of Isaac,/,102
"Amigoni, Jacopo",/,sponsored,Solomon adoring the Idols,/,103
work in England,/,located_in,England,/,104
"Amigoni, Jacopo",/,created,work in England,/,104
"Andreosi, Francesco",/,created,statue of Antenor for Pr¨¤ della Valle,/,106
statue of Antenor for Pr¨¤ della Valle,/,intended_for,Pr,/,106
"Angeli, Filippo d'",/,is,Napoletano,/,107
"Arcadia, Society of",/,located_in,Rome,/,116
Ariosto,/,sponsored,Orlando Furioso,/,119
"Arrighi-Landini, Orazio",/,sponsored,Tempio della Filosofia,/,125
Art dealers,/,located_in,Rome,/,127
Art dealers,/,located_in,Venice,/,128
Art exhibitions,/,located_in,Florence,/,129
Art exhibitions,/,located_in,Florence,/,130
Art exhibitions,/,sponsored,Grand Prince Ferdinand de' Medici and,/,130
Art exhibitions,/,located_in,Rome,/,131
Art exhibitions,/,located_in,Rome,/,132
Art exhibitions,/,sponsored,influence on trends of painting in the 17th century,/,132
Art exhibitions,/,located_in,Rome,/,133
Art exhibitions,/,sponsored,Pantheon,/,133
Art exhibitions,/,located_in,Rome,/,134
Art exhibitions,/,sponsored,S. Bartolommeo,/,134
Art exhibitions,/,located_in,Rome,/,135
Art exhibitions,/,sponsored,San Giovanni Decollato,/,135
Art exhibitions,/,located_in,Rome,/,136
San Salvatore in Lauro,/,located_in,Lauro,/,136
Art exhibitions,/,sponsored,San Salvatore in Lauro,/,136
Art exhibitions,/,located_in,Venice,/,137
Art exhibitions,/,located_in,Venice,/,138
Art exhibitions,/,sponsored,Academy,/,138
Art exhibitions,/,located_in,Venice,/,139
Art exhibitions,/,sponsored,Piazza S. Marco,/,139
Art exhibitions,/,located_in,Venice,/,140
Art exhibitions,/,sponsored,Scuola di San Rocco,/,140
Augustus II of Poland,/,is,"Frederick Augustus I, Elector of Saxony",/,148
Augustus II of Poland,/,is,"Frederick Augustus I, Elector of Saxony",/,149
Augustus II of Poland,/,sponsored,patronage of Venetian artists,/,149
Augustus III of Poland,/,is,"Frederick Augustus II, Elector of Saxony",/,150
Augustus III of Poland,/,is,"Frederick Augustus II, Elector of Saxony",/,151
Augustus III of Poland,/,sponsored,F. Algarotti and,/,151
Augustus III of Poland,/,is,"Frederick Augustus II, Elector of Saxony",/,152
Augustus III of Poland,/,collaborated_on,Rosalba Carriera,/,152
Augustus III of Poland,/,is,"Frederick Augustus II, Elector of Saxony",/,153
Augustus III of Poland,/,sponsored,Dresden Gallery,/,153
Augustus III of Poland,/,is,"Frederick Augustus II, Elector of Saxony",/,154
Augustus III of Poland,/,created,pictures from collections of Dukes of Modena,/,154
