Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Carpio, Marchese Del",/,sponsored,in Rome,/,98
in Rome,/,located_in,Rome,/,99
"Carpio, Marchese Del",/,sponsored,in Rome,/,99
"Carpio, Marchese Del",/,sponsored,purchases from Massimi collection,/,99
"Carracci, Annibale",/,sponsored,Beaneater,/,102
"Carracci, Annibale",/,created,drawings,/,103
"Carracci, Annibale",/,sponsored,Lucretia,/,104
"Carriera, Rosalba",/,collaborated_on,Augustus III of Poland,/,107
"Carriera, Rosalba",/,sponsored,influence on French painting,/,108
"Carriera, Rosalba",/,sponsored,"journal, edited by Vianello",/,109
"Carriera, Rosalba",/,created,portrait of Emmanuela Conti,/,110
"Carriera, Rosalba",/,sponsored,prices,/,111
"Carriera, Rosalba",/,sponsored,Winter,/,112
"Carriera, Rosalba",/,created,work for Consul Smith,/,113
work for Consul Smith,/,intended_for,Consul Smith,/,113
work in Paris,/,located_in,Paris,/,114
"Carriera, Rosalba",/,created,work in Paris,/,114
"Cassana, Niccolò",/,created,as agent for Grand Prince Ferdinand,/,119
as agent for Grand Prince Ferdinand,/,intended_for,Grand Prince Ferdinand,/,119
"Cassana, Niccolò",/,sponsored,Bacchanal,/,120
"Cassana, Niccolò",/,sponsored,Conspiracy of Catiline,/,121
"Cassana, Niccolò",/,created,paintings for Grand Prince Ferdinand,/,122
paintings for Grand Prince Ferdinand,/,intended_for,Grand Prince Ferdinand,/,122
"Cassana, Niccolò",/,created,Portrait of a Cook,/,123
"Cassana, Niccolò",/,created,Portrait of a Hunter,/,124
"Cassana, Niccolò",/,sponsored,Venus playing with Cupid,/,125
drawings in Sagredo collection,/,located_in,Sagredo collection,/,128
"Castiglione, Giovanni Benedetto",/,created,drawings in Sagredo collection,/,128
"Castiglione, Giovanni Benedetto",/,sponsored,importance of for 18th century,/,129
"Castiglione, Giovanni Benedetto",/,created,print of Diogenes,/,130
Cebes,/,sponsored,The Table (Pinax),/,142
"Cellini, Benvenuto",/,sponsored,Perseus,/,146
"Cerquozzi, Michelangelo",/,sponsored,anti-heroic element,/,151
"Cerquozzi, Michelangelo",/,sponsored,Arrival at the Palace (with Codazzi),/,152
"Cerquozzi, Michelangelo",/,sponsored,battle pictures,/,153
"Cerquozzi, Michelangelo",/,sponsored,collaboration with Codazzi,/,154
"Cerquozzi, Michelangelo",/,sponsored,effect of patronage of Roman aristocracy,/,155
"Cerquozzi, Michelangelo",/,sponsored,high prices for bambocciate,/,156
"Cerquozzi, Michelangelo",/,sponsored,Revolt of Masaniello,/,157
"Cerquozzi, Michelangelo",/,sponsored,situation after death of Urban VIII,/,158
"Cerquozzi, Michelangelo",/,sponsored,Spanish associations,/,159
"Cerquozzi, Michelangelo",/,sponsored,Women's Bath (with Codazzi),/,160
"Cerquozzi, Michelangelo",/,created,work for Cardinal Flavio Chigi,/,161
work for Cardinal Flavio Chigi,/,intended_for,Cardinal Flavio Chigi,/,161
"Chandos, Grey Brydges, 5th Lord",/,sponsored,Discourse of Rome,/,170
"Chandos, Grey Brydges, 5th Lord",/,sponsored,Horae Subsecivae,/,171
attempts to get Italian artists to settle in England,/,located_in,England,/,176
Charles I of England,/,sponsored,attempts to get Italian artists to settle in England,/,176
Charles I of England,/,sponsored,Bernini bust,/,177
Charles I of England,/,sponsored,effort at rapprochement with Rome,/,178
Charles I of England,/,sponsored,sale of pictures by Parliament,/,179
Charles I of England,/,sponsored,Van Dyck triple portrait,/,180
"Chigi, Agostino",/,is,nephew to Alexander VII,/,189
"Chigi, Fabio",/,is,Pope Alexander VII,/,190
"Chigi, Fabio",/,is,Pope Alexander VII,/,191
"Chigi, Fabio",/,occurred_during,"building in Rome, during reign",/,191
"Chigi, Fabio",/,is,Pope Alexander VII,/,192
"Chigi, Fabio",/,sponsored,conflict with Louis XIV,/,192
"Chigi, Fabio",/,is,Pope Alexander VII,/,193
"Chigi, Fabio",/,sponsored,decline in patronage after death of,/,193
"Chigi, Fabio",/,is,Pope Alexander VII,/,194
"Chigi, Fabio",/,sponsored,economic difficulties in reign,/,194
"Chigi, Fabio",/,is,Pope Alexander VII,/,195
"Chigi, Fabio",/,sponsored,patronage of Bernini,/,195
"Chigi, Cardinal Flavio",/,is,nephew to Pope Alexander VII,/,196
"Chigi, Cardinal Flavio",/,is,nephew to Pope Alexander VII,/,197
"Chigi, Cardinal Flavio",/,collaborated_on,Cerquozzi,/,197
"Chigi, Cardinal Flavio",/,is,nephew to Pope Alexander VII,/,198
"Chigi, Cardinal Flavio",/,sponsored,his voluptuousness,/,198
"Chigi, Don Mario",/,is,brother to Pope Alexander VII,/,199
"Christina, Queen of Sweden",/,collaborated_on,"Paolo Giordano II Orsini, Duke of Bracciano",/,201
"Christina, Queen of Sweden",/,sponsored,employment of Bellori,/,202
"Christina, Queen of Sweden",/,sponsored,loan of pictures for exhibition at San Giovanni Decollato,/,203
"Christina, Queen of Sweden",/,created,pictures looted from Prague by Gustavus Adolphus,/,204
Churches of religious orders,/,located_in,Rome,/,205
Churches,/,located_in,Bergamo,/,206
Churches,/,sponsored,S. Paolo d'Argan,/,206
Churches,/,located_in,Bergamo,/,207
Churches,/,sponsored,Santa Maria Maggiore,/,207
Churches,/,located_in,Este,/,208
Churches,/,sponsored,Beata Vergine della Salute,/,208
Churches,/,located_in,Florence,/,209
Churches,/,sponsored,S. Gaetano,/,209
Churches,/,located_in,Florence,/,210
Churches,/,sponsored,S. Croce,/,210
Churches,/,located_in,Padua,/,211
Churches,/,sponsored,Arena chapel,/,211
Churches,/,located_in,Paris,/,212
Churches,/,sponsored,St Anne-la-Royale,/,212
Churches,/,located_in,Rimini,/,213
Churches,/,sponsored,Tempio Malatestiano,/,213
Churches,/,located_in,Rome,/,214
Churches,/,sponsored,Gesù,/,214
Churches,/,located_in,Rome,/,215
Churches,/,sponsored,Gesù,/,215
Churches,/,sponsored,chapel of St Ignatius,/,215
Churches,/,located_in,Rome,/,216
Churches,/,sponsored,Gesù,/,216
Churches,/,sponsored,side-chapels,/,216
Churches,/,located_in,Rome,/,217
Churches,/,sponsored,Madonna di Montesanto,/,217
Churches,/,located_in,Rome,/,218
Churches,/,sponsored,S. Agnese (Piazza Navona),/,218
Churches,/,located_in,Rome,/,219
Churches,/,sponsored,S. Andrea al Quirinale,/,219
Churches,/,located_in,Rome,/,220
Churches,/,sponsored,S. Andrea al Quirinale,/,220
Churches,/,sponsored,documents about altarpieces by Brandi,/,220
Churches,/,sponsored,documents about altarpieces by Maratta,/,220
Churches,/,located_in,Rome,/,221
Churches,/,sponsored,S. Andrea al Quirinale,/,221
Churches,/,sponsored,Richeôme on,/,221
Churches,/,located_in,Rome,/,222
Churches,/,sponsored,S. Andrea della Valle,/,222
Churches,/,located_in,Rome,/,223
Churches,/,sponsored,S. Bartolommeo (art exhibitions organised by Bergamasque community),/,223
Churches,/,located_in,Rome,/,224
Churches,/,sponsored,S. Bibiana,/,224
Churches,/,located_in,Rome,/,225
Churches,/,sponsored,S. Carlo ai Catinari,/,225
Churches,/,located_in,Rome,/,226
Churches,/,sponsored,S. Carlo alle Quattro Fontane,/,226
Churches,/,located_in,Rome,/,227
Churches,/,sponsored,S. Francesco da Paola,/,227
Churches,/,located_in,Rome,/,228
Churches,/,sponsored,S. Ignazio,/,228
Churches,/,located_in,Rome,/,229
Churches,/,sponsored,St John Lateran,/,229
Churches,/,located_in,Rome,/,230
S. Lorenzo in Damaso,/,located_in,Damaso,/,230
