Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Barberini, Maffeo",/,is,Pope Urban VIII,/,76
"Barberini, Maffeo",/,sponsored,patronage of Claude,/,76
"Barberini, Maffeo",/,is,Pope Urban VIII,/,77
"Barberini, Maffeo",/,sponsored,patronage of Pietro da Cortona,/,77
"Barberini, Maffeo",/,is,Pope Urban VIII,/,78
"Barberini, Maffeo",/,sponsored,poetry of,/,78
"Barberini, Maffeo",/,is,Pope Urban VIII,/,79
"Barberini, Maffeo",/,created,portrait by Caravaggio,/,79
"Barberini, Maffeo",/,is,Pope Urban VIII,/,80
"Barberini, Maffeo",/,created,portraits and statues of,/,80
"Barberini, Maffeo",/,is,Pope Urban VIII,/,81
"Barberini, Maffeo",/,sponsored,preferment for family,/,81
"Barberini, Maffeo",/,is,Pope Urban VIII,/,82
"Barberini, Maffeo",/,sponsored,social consequences of his papacy,/,82
"Barberini, Maffeo",/,is,Pope Urban VIII,/,83
"Barberini, Maffeo",/,sponsored,tapestries commemorating,/,83
"Barberini, Maffeo",/,is,Pope Urban VIII,/,84
"Barberini, Maffeo",/,created,tomb,/,84
"Barberini, Maffeo",/,is,Pope Urban VIII,/,85
"Barberini, Maffeo",/,sponsored,"visit to Ferrara, 1598",/,85
"Barberini, Prince Maffeo",/,is,son of Taddeo Barberini,/,86
"Barberini, Taddeo",/,is,nephew to Urban VIII,/,87
Barberini palace,/,sponsored,theatre,/,89
"Barelli, Agostino",/,sponsored,palace at Nymphenburg,/,91
Theatine church in Munich,/,located_in,Munich,/,92
"Barelli, Agostino",/,sponsored,Theatine church in Munich,/,92
"Barocci, Federico",/,sponsored,Presentation of Jesus in the Temple,/,96
"Bartolommeo, Fra",/,sponsored,S. Marco,/,101
"Bassanino, Virgilio",/,sponsored,Rape of the Sabines,/,104
"Bassano, Jacopo",/,sponsored,Nativity,/,106
"Bassi, Francesco",/,is,il Cremonese,/,107
"Batoni, Pompeo",/,sponsored,Cleopatra,/,109
"Batoni, Pompeo",/,sponsored,Triumph of Venice,/,110
"Batoni, Pompeo",/,created,work for Marco Foscarini,/,111
work for Marco Foscarini,/,intended_for,Marco Foscarini,/,111
"Beccaria, Cesare",/,sponsored,Dei delitti e delle pene,/,114
"Bellori, Gian Pietro",/,sponsored,as librarian and antiquarian to Queen Christina of Sweden,/,121
"Bellori, Gian Pietro",/,sponsored,Descrizione delle Immagini dipinte da Raffaelo d'Urbino,/,122
"Bellori, Gian Pietro",/,sponsored,devotion to Raphael,/,123
"Bellori, Gian Pietro",/,sponsored,influence of his views,/,124
"Bellori, Gian Pietro",/,sponsored,Le Vite de Pittori... Moderni,/,125
"Bellotto, Bernardo",/,created,"painting of ruins of Church of the Cross, Dresden",/,128
work in Warsaw,/,located_in,Warsaw,/,129
"Bellotto, Bernardo",/,created,work in Warsaw,/,129
"Bellucci, Antonio",/,sponsored,Descent from the Cross,/,131
"Bellucci, Antonio",/,sponsored,Nativity,/,132
Benedictines,/,located_in,Venice,/,135
"Bentivoglio, Cardinal Guido",/,sponsored,patronage of Claude,/,140
"Bernini, Gian Lorenzo",/,collaborated_on,the Barberini,/,144
"Bernini, Gian Lorenzo",/,collaborated_on,Gesù,/,145
"Bernini, Gian Lorenzo",/,collaborated_on,S. Andrea al Quirinale,/,146
"Bernini, Gian Lorenzo",/,collaborated_on,S. Bibiana,/,147
