Plate_ID,Sub_ID,Artist,Title_Description,Location,Matched_Full_Name,Matched_QID
46,,Pellegrini,Pierre Motteux and his family,British Museum,Giovanni Antonio Pellegrini; Luigi Pellegrini Scaramuccia,Q1358364; Q3266512
47,,Marco Ricci,An Operatic Rehearsal,"Sir Watkin Williams-Wynn, Bt, St Asaph",Marco Ricci,Q930162
48,a,Marco Pitteri,Flaminio Corner,from Giuseppe Angeli,Marco Pitteri,Q48879573
48,b,Gian Antonio Faldoni,Zaccaria Sagredo (from B. Nazari),"Museo Correr, Venice",Giovanni Antonio Faldoni,Q27493848
48,c,Alessandro Longhi,Carlo Lodoli,"Museo Correr, Venice",Alessandro Longhi,Q1855242
48,d,Anonymous,Francesco Algarotti,"Museo Correr, Venice",,
49,a,Pellegrini,Allegory of the Education of the Crown Prince of the Palatinate,"Bayerischen Staatsgemaldesammlungen, Munich",Giovanni Antonio Pellegrini; Luigi Pellegrini Scaramuccia,Q1358364; Q3266512
49,b,Amigoni,Jupiter and Io,Moor Park,Jacopo Amigoni,Q380897
50,,Tiepolo,"Detail from fresco on ceiling of staircase in Residenz, Wurzburg",,Giovanni Battista Tiepolo; Giovanni Domenico Tiepolo; Mostra del Tiepolo; Tiepolo's Etchings,Q186202; Q435316
51,,Canaletto,"View from Badminton, 1748",Duke of Beaufort,Canaletto,Q182664
52,a,P. Van Bleek,Owen McSwiny,National Portrait Gallery,,
52,b,"Canaletto, Cimaroli and Pittoni",Allegorical Tomb to the memory of Archbishop Tillotson,"Peter Moores, Liverpool",Coggio Pittoni; Francesco Pittoni; Giambattista Pittoni; Giovanni Battista Pittoni,Q3081058; Q982011; Q107264259
53,a,Piazzetta,Marshal Schulenburg,"Castello Sforzesco, Milan",Giovanni Battista Piazzetta; Piazzetta San Marco,Q282670; Q10510932
53,b,Amigoni,Sigismund Streit,"Gymnasium zu Grauen Kloster, Berlin",Jacopo Amigoni,Q380897
54,,Piazzetta,Idyll,"Wallraf-Richartz Museum, Cologne",Giovanni Battista Piazzetta; Piazzetta San Marco,Q282670; Q10510932
55,a,Canaletto,Dedicatory frontispiece to Etchings,,Canaletto,Q182664
55,b,Marco Ricci (engraved Bartolozzi),Village Scene,,Francesco Bartolozzi,Q734889
56,,Marieschi,"Picture Exhibition at Church of S. Rocco, Venice",,Michele Marieschi,Q2501578
57,a,Piazzetta,"Final plate of Illustrations to Gerusalemme Liber ata, published by Albrizzi 1745, with portraits of Piazzetta and Albrizzi",,Giovanni Battista Piazzetta; Piazzetta San Marco,Q282670; Q10510932
57,b,Pietro Antonio Novelli,"Frontispiece to Vol. 2 of Goldoni: Opere, published by Pasquali,",,Pietro Antonio Novelli,Q1718478
58,a,Giuseppe Zocchi,A. M. Zanetti the Elder with Marchese Gerini,"Museo Correr, Venice",Giuseppe Zocchi,Q1528741
58,b,Alessandro Longhi,G. M. Sasso,"Museo Correr, Venice",Alessandro Longhi,Q1855242
59,a,Canova,Amadeo Swajer,"Museo Correr, Venice",Antonio Canova,Q5547
59,b,Bernardino Castelli,Teodoro Correr,"Museo Correr, Venice",Bernardino Castelli,Q3638702
60,,G. Volpato,Mourners at Tomb of Francesco Algarotti in Pisa,,Giovanni Volpato,Q3107516
61,a,Tiepolo,Banquet of Anthony and Cleopatra,"Musée Cognacq-Jay, 360 Paris",Giovanni Battista Tiepolo; Giovanni Domenico Tiepolo; Mostra del Tiepolo; Tiepolo's Etchings,Q186202; Q435316
61,b,Tiepolo,Banquet of Anthony and Cleopatra,"National Gallery of Victoria, Felton Bequest, Melbourne",Giovanni Battista Tiepolo; Giovanni Domenico Tiepolo; Mostra del Tiepolo; Tiepolo's Etchings,Q186202; Q435316
62,,Canaletto,"Prato della Valle, Padua",,Canaletto,Q182664
63,,Domenico Cerato,Original proposals for reclaiming Prato della Valle,,Domenico Cerato,Q3712960
64,,Francesco Guardi,"View ofjohn Strange’s villa at Paese near Treviso [Private Collection, London)",,Francesco Guardi,Q318769
65,a,Mola and Simonelli,Joint caricature of Simonelli and Mola 400 [formerly Vitale Bloch collection),,Niccolò Simonelli,Q97072945
65,b,Agostino Masucci,"Mola painting the portrait of Pope Alexander VII [National Museum, Stockholm)",,Agostino Masucci,Q395680
66,,Baldassare Franceschini,Fame carrying the name of Louis XIV to the Temple of Immortality [Versailles),,Baldassare Franceschini (Il Volterrano),Q2403504
67,,G. M. Crespi,"Jupiter handed over by Cybele to the Corybantes to be fed [Staatsgalerie, Stuttgart)",,Angelo Crespi; Cerano (Giovanni Battista Crespi); Luigi Crespi,Q3616942; Q22176; Q3266428
68,a,Francesco Maggiotto,Three portraits of Doges [Private Collections),,Francesco Maggiotto,Q3080993
68,b,Tiepolo (engraved Leonardis),Maecenas presenting the Arts to Augustus,,Giacomo Leonardis,Q5557896
