Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category
Index,Unmatched (Index),"Marchesini, Alessandro",E22 Man-Made Object,,,,M,Unmatched Index Entry,"Marchesini, Alessandro",Work
Index,Unmatched (Index),"Marchiori, Giovanni",E22 Man-Made Object,,,,M,Unmatched Index Entry,"Marchiori, Giovanni",Work
Index,Unmatched (Index),"Mari, Cosimo",E21 Person,,,,M,Unmatched Index Entry,Cosimo Mari,Person
Index,Unmatched (Index),"Maria Teresa, Holy Roman Empress",E21 Person,,,,M,Unmatched Index Entry,Holy Roman Empress Maria Teresa,Person
Index,Unmatched (Index),"Marigny, Marquis de",E21 Person,,,,M,Unmatched Index Entry,Marquis de Marigny,Person
Index,Unmatched (Index),"Marlborough, Duchess of",E21 Person,,,,M,Unmatched Index Entry,Of Marlborough,Person
Index,Unmatched (Index),Marucelli Palace,E22 Man-Made Object,,,,M,Unmatched Index Entry,Palazzo Marucelli,Place (Reclassified)
Index,Unmatched (Index),"Marucelli, Orazio",E21 Person,,,,M,Unmatched Index Entry,Orazio Marucelli,Person
Index,Unmatched (Index),"Massimi, Camillo (the Elder)",E21 Person,,,,M,Unmatched Index Entry,Camillo Massimi,Person
Index,Unmatched (Index),"Massimi, Cardinal Camillo (Carlo)",E21 Person,,,,M,Unmatched Index Entry,Camillo Massimi,Person
Index,Unmatched (Index),Mastelletta,E21 Person,,,,M,Unmatched Index Entry,Mastelletta,Person
Index,Unmatched (Index),"Matina, L.",E21 Person,,,,M,Unmatched Index Entry,L. Matina,Person
Index,Unmatched (Index),"Maupertuis, Pierre-Louis",E21 Person,,,,M,Unmatched Index Entry,Pierre-Louis Maupertuis,Person
Index,Unmatched (Index),"Max Emmanuel, Elector of Bavaria",E21 Person,,,,M,Unmatched Index Entry,Elector of Bavaria Max Emmanuel,Person
Index,Unmatched (Index),"Maximilian, Prince, Elector of Bavaria",E21 Person,,,,M,Unmatched Index Entry,", Elector of Bavaria Maximilian",Person
Index,Unmatched (Index),"Mazarin, Cardinal",E21 Person,,,,M,Unmatched Index Entry,Mazarin,Person
Index,Unmatched (Index),"Mazenta, Ambrogio",E21 Person,,,,M,Unmatched Index Entry,Ambrogio Mazenta,Person
Index,Unmatched (Index),"Mazza, Giuseppe",E21 Person,,,,M,Unmatched Index Entry,Giuseppe Mazza,Person
Index,Unmatched (Index),"Mazzarini, Giulio",E21 Person,,,,M,Unmatched Index Entry,Giulio Mazzarini,Person
Index,Unmatched (Index),"Mazzoni, Nicola",E21 Person,,,,M,Unmatched Index Entry,Nicola Mazzoni,Person
Index,Unmatched (Index),"Mead, Dr Richard",E21 Person,,,,M,Unmatched Index Entry,Richard Mead,Person
Index,Unmatched (Index),"Mecklenburg, Christian Louis, Duke of",E21 Person,,,,M,Unmatched Index Entry,"Christian Louis, of Mecklenburg",Person
Index,Unmatched (Index),"Medici, Anna Maria Ludovica de' (wife of Johann Wilhelm, Elector Palatinate)",E21 Person,,,,M,Unmatched Index Entry,Anna Maria Ludovica de' Medici,Person
Index,Unmatched (Index),"Medici, Cosimo III de'",E21 Person,,,,M,Unmatched Index Entry,Cosimo III de' Medici,Person
Index,Unmatched (Index),"Medici, Ferdinando II de', Grand Duke of Tuscany",E21 Person,,,,M,Unmatched Index Entry,"Ferdinando II de', Grand of Tuscany Medici",Person
Index,Unmatched (Index),"Medici, Francesco Maria de'",E53 Place,,,,M,Unmatched Index Entry,"Medici, Francesco Maria de'",Place
Index,Unmatched (Index),"Medici, Grand Duke Gian Gastone de'",E21 Person,,,,M,Unmatched Index Entry,Grand Gian Gastone de' Medici,Person
Index,Unmatched (Index),"Medici, Grand Prince Ferdinand de'",E21 Person,,,,M,Unmatched Index Entry,Grand Ferdinand de' Medici,Person
Index,Unmatched (Index),"Medici, Isabella de' (Duchess of Bracciano)",E21 Person,,,,M,Unmatched Index Entry,Isabella de' Medici,Person
Index,Unmatched (Index),"Medici, Marie de",E21 Person,,,,M,Unmatched Index Entry,Marie de Medici,Person
Index,Unmatched (Index),"Melanconici, Niccolò",E21 Person,,,,M,Unmatched Index Entry,Niccolò Melanconici,Person
Index,Unmatched (Index),"Mellino, Cardinal",E21 Person,,,,M,Unmatched Index Entry,Mellino,Person
Index,Unmatched (Index),"Mengs, Anton Rafael",E21 Person,,,,M,Unmatched Index Entry,Anton Rafael Mengs,Person
Index,Unmatched (Index),Messina,E53 Place,,,,M,Unmatched Index Entry,Messina,Place
Index,Unmatched (Index),Miani family,E74 Group,,,,M,Unmatched Index Entry,Miani family,Place
Index,Unmatched (Index),Michelangelo,E21 Person,,,,M,Unmatched Index Entry,Michelangelo,Person
Index,Unmatched (Index),"Mieris, Frans van",E21 Person,,,,M,Unmatched Index Entry,Frans van Mieris,Person
Index,Unmatched (Index),"Miller, Dwight",E21 Person,,,,M,Unmatched Index Entry,Dwight Miller,Person
Index,Unmatched (Index),"Millet, Jean-François",E21 Person,,,,M,Unmatched Index Entry,Jean-François Millet,Person
Index,Unmatched (Index),"Mingardi, Francesco",E53 Place,,,,M,Unmatched Index Entry,"Mingardi, Francesco",Place
Index,Unmatched (Index),"Minitti, Mario",E21 Person,,,,M,Unmatched Index Entry,Mario Minitti,Person
Index,Unmatched (Index),"Mocenigo, Doge Alvise",E21 Person,,,,M,Unmatched Index Entry,Doge Alvise Mocenigo,Person
Index,Unmatched (Index),Modelli,E28 Conceptual Object,,,,M,Unmatched Index Entry,Modelli,Work
Index,Unmatched (Index),"Modena, Duke of",E21 Person,,,,M,Unmatched Index Entry,Of Modena,Person
Index,Unmatched (Index),"Monari, Cristofano",E21 Person,,,,M,Unmatched Index Entry,Cristofano Monari,Person
Index,Unmatched (Index),"Monnot, Pierre",E21 Person,,,,M,Unmatched Index Entry,Pierre Monnot,Person
Index,Unmatched (Index),"Montagu, Jennifer",E21 Person,,,,M,Unmatched Index Entry,Jennifer Montagu,Person
Index,Unmatched (Index),"Montaigne, Michel de",E21 Person,,,,M,Unmatched Index Entry,Michel de Montaigne,Person
Index,Unmatched (Index),Montanari palace,E22 Man-Made Object,,,,M,Unmatched Index Entry,Palazzo Montanari,Place (Reclassified)
Index,Unmatched (Index),"Monte, Cardinal Francesco del",E53 Place,,,,M,Unmatched Index Entry,"Monte, Cardinal Francesco del",Place
Index,Unmatched (Index),"Montefeltre, Federigo da",E21 Person,,,,M,Unmatched Index Entry,Federigo da Montefeltre,Person
Index,Unmatched (Index),"Monterey, Count of",E21 Person,,,,M,Unmatched Index Entry,Of Monterey,Person
Index,Unmatched (Index),"Montorsoli, Giovanni",E21 Person,,,,M,Unmatched Index Entry,Giovanni Montorsoli,Person
Index,Unmatched (Index),"Morandi, Giammaria",E21 Person,,,,M,Unmatched Index Entry,Giammaria Morandi,Person
Index,Unmatched (Index),"Morelli, Jacopo",E21 Person,,,,M,Unmatched Index Entry,Jacopo Morelli,Person
Index,Unmatched (Index),"Morlaiter, Michelangelo",E21 Person,,,,M,Unmatched Index Entry,Michelangelo Morlaiter,Person
Index,Unmatched (Index),"Moroni, Giovanni Battista",E21 Person,,,,M,Unmatched Index Entry,Giovanni Battista Moroni,Person
Index,Unmatched (Index),Morosini family,E74 Group,,,,M,Unmatched Index Entry,Morosini family,Place
Index,Unmatched (Index),"Moscheni, Pietro",E21 Person,,,,M,Unmatched Index Entry,Pietro Moscheni,Person
Index,Unmatched (Index),"Moschini, Abate G. A.",E21 Person,,,,M,Unmatched Index Entry,G. A. Moschini,Person
Index,Unmatched (Index),"Moscow, Venetian painting in",E21 Person,,,,M,Unmatched Index Entry,Venetian painting in Moscow,Person
Index,Unmatched (Index),"Motteux, Pierre",E21 Person,,,,M,Unmatched Index Entry,Pierre Motteux,Person
Index,Unmatched (Index),"Mour, Jean-Baptiste Van",E21 Person,,,,M,Unmatched Index Entry,Jean-Baptiste Van Mour,Person
Index,Unmatched (Index),"Mulier, Pietro",E21 Person,,,,M,Unmatched Index Entry,Pietro Mulier,Person
Index,Unmatched (Index),"Munich, Nymphenburg palace",E22 Man-Made Object,,,,M,Unmatched Index Entry,"Palazzo Munich, Nymphenburg",Place (Reclassified)
Index,Unmatched (Index),"Munich, patronage in 17th century",E21 Person,,,,M,Unmatched Index Entry,Patronage in 17th century Munich,Person
Index,Unmatched (Index),"Muratori, L. A.",E21 Person,,,,M,Unmatched Index Entry,L. A. Muratori,Person
Index,Unmatched (Index),"Murray, John",E21 Person,,,,M,Unmatched Index Entry,John Murray,Person
Index,Unmatched (Index),"Nadal, Jerome",E53 Place,,,,N,Unmatched Index Entry,"Nadal, Jerome",Place
Index,Unmatched (Index),Naples,E53 Place,,,,N,Unmatched Index Entry,Naples,Place
Index,Unmatched (Index),"Nappi, P. Gerolamo",E21 Person,,,,N,Unmatched Index Entry,P. Gerolamo Nappi,Person
Index,Unmatched (Index),Nationalism and art,E28 Conceptual Object,,,,N,Unmatched Index Entry,Nationalism and art,Work
Index,Unmatched (Index),"Nazari, Bartolommeo",E21 Person,,,,N,Unmatched Index Entry,Bartolommeo Nazari,Person
Index,Unmatched (Index),"Neapolitan painting, diffusion of",E21 Person,,,,N,Unmatched Index Entry,Diffusion of Neapolitan painting,Person
Index,Unmatched (Index),"Negroni, Cardinal Giovan Francesco",E53 Place,,,,N,Unmatched Index Entry,"Negroni, Cardinal Giovan Francesco",Place
Index,Unmatched (Index),Nepotism in Rome,E53 Place,,,,N,Unmatched Index Entry,Nepotism in Rome,Place
Index,Unmatched (Index),"Neumann, Balthasar",E21 Person,,,,N,Unmatched Index Entry,Balthasar Neumann,Person
Index,Unmatched (Index),"Newcastle, Thomas Pelham-Holles, Duke of",E22 Man-Made Object,,,,N,Unmatched Index Entry,"Thomas Pelham-Holles, of Newcastle",Person (Reclassified)
Index,Unmatched (Index),"Newcastle, William Cavendish, Duke of",E22 Man-Made Object,,,,N,Unmatched Index Entry,"William Cavendish, of Newcastle",Person (Reclassified)
Index,Unmatched (Index),"Nickel, Goswin",E21 Person,,,,N,Unmatched Index Entry,Goswin Nickel,Person
Index,Unmatched (Index),"Noailles, Maréchal de",E21 Person,,,,N,Unmatched Index Entry,Maréchal de Noailles,Person
Index,Unmatched (Index),"Nollet, Abbé",E21 Person,,,,N,Unmatched Index Entry,Abbé Nollet,Person
Index,Unmatched (Index),"Nomé, François ('Monsù Desiderio')",E21 Person,,,,N,Unmatched Index Entry,François Nomé,Person
Index,Unmatched (Index),"Non, Dominique De (Dominique Vivant-Denon)",E21 Person,,,,N,Unmatched Index Entry,Dominique De Non,Person
Index,Unmatched (Index),"Nordiall, John",E21 Person,,,,N,Unmatched Index Entry,John Nordiall,Person
Index,Unmatched (Index),"Novaroli, P. Octavio",E21 Person,,,,N,Unmatched Index Entry,P. Octavio Novaroli,Person
Index,Unmatched (Index),"Novelli, Pietro ('il Monrealese')",E21 Person,,,,N,Unmatched Index Entry,Pietro Novelli,Person
Index,Unmatched (Index),"Noyers, François Sublet de",E21 Person,,,,N,Unmatched Index Entry,François Sublet de Noyers,Person
Index,Unmatched (Index),"Nuzzi, Mario (Mario de' Fiori)",E21 Person,,,,N,Unmatched Index Entry,Mario Nuzzi,Person
Index,Unmatched (Index),"Oderisi, Roberto",E21 Person,,,,O,Unmatched Index Entry,Roberto Oderisi,Person
Index,Unmatched (Index),"Odescalchi, Benedetto (Pope Innocent XI)",E21 Person,,,,O,Unmatched Index Entry,Benedetto Odescalchi,Person
Index,Unmatched (Index),"Olina, P.",E21 Person,,,,O,Unmatched Index Entry,P. Olina,Person
Index,Unmatched (Index),"Oliva, Gian Paolo",E21 Person,,,,O,Unmatched Index Entry,Gian Paolo Oliva,Person
Index,Unmatched (Index),"Olivarez, Count Duke",E21 Person,,,,O,Unmatched Index Entry,Olivarez,Person
Index,Unmatched (Index),"Olivieri, Monsignor",E21 Person,,,,O,Unmatched Index Entry,Olivieri,Person
Index,Unmatched (Index),"Olivieri, Pietro Paolo",E21 Person,,,,O,Unmatched Index Entry,Pietro Paolo Olivieri,Person
Index,Unmatched (Index),Opera in Rome,E53 Place,,,,O,Unmatched Index Entry,Opera in Rome,Place
Index,Unmatched (Index),Oratorians,E74 Group,,,,O,Unmatched Index Entry,Oratorians,Place
Index,Unmatched (Index),Oratorio,E28 Conceptual Object,,,,O,Unmatched Index Entry,Oratorio,Work
Index,Unmatched (Index),"Orleans, Margherite d'",E21 Person,,,,O,Unmatched Index Entry,Margherite d' Orleans,Person
Index,Unmatched (Index),"Orleans, Philippe d', Regent",E21 Person,,,,O,Unmatched Index Entry,"Philippe d', Regent Orleans",Person
Index,Unmatched (Index),"Orsini, Paolo Giordano",E21 Person,,,,O,Unmatched Index Entry,Paolo Giordano Orsini,Person
Index,Unmatched (Index),"Ortes, Abate Giuseppe Maria",E21 Person,,,,O,Unmatched Index Entry,Giuseppe Maria Ortes,Person
Index,Unmatched (Index),"Osimo, Don Cesare Leopardi di",E21 Person,,,,O,Unmatched Index Entry,Cesare Leopardi di Osimo,Person
Index,Unmatched (Index),"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",E21 Person,,,,O,Unmatched Index Entry,Pietro Ottoboni,Person
Index,Unmatched (Index),"Ottoboni, Pietro (Pope Alexander VIII)",E21 Person,,,,O,Unmatched Index Entry,Pietro Ottoboni,Person
Index,Unmatched (Index),"Ottonelli, Padre",E21 Person,,,,O,Unmatched Index Entry,Padre Ottonelli,Person
Index,Unmatched (Index),"Oxford, Robert Harley, Earl of",E21 Person,,,,O,Unmatched Index Entry,"Robert Harley, of Oxford",Person
Index,Unmatched (Index),Padovanino,E21 Person,,,,P,Unmatched Index Entry,Padovanino,Person
Index,Unmatched (Index),Padua,E53 Place,,,,P,Unmatched Index Entry,Padua,Place
Index,Unmatched (Index),"Painting, social significance of",E21 Person,,,,P,Unmatched Index Entry,Social significance of Painting,Person
Index,Unmatched (Index),"Pallavicini, Marchese Niccolò Maria",E22 Man-Made Object,,,,P,Unmatched Index Entry,Niccolò Maria Pallavicini,Person (Reclassified)
Index,Unmatched (Index),"Palma, Jacopo (il Giovane)",E21 Person,,,,P,Unmatched Index Entry,Jacopo Palma,Person
Index,Unmatched (Index),"Palmerston, Lady",E21 Person,,,,P,Unmatched Index Entry,Palmerston,Person
Index,Unmatched (Index),"Paltronieri, Pietro ('il Mirandolese')",E21 Person,,,,P,Unmatched Index Entry,Pietro Paltronieri,Person
Index,Unmatched (Index),"Pamfili (Astalli), Camillo",E21 Person,,,,P,Unmatched Index Entry,Camillo Pamfili,Person
Index,Unmatched (Index),Pamfili palace (Piazza Navona),E22 Man-Made Object,,,,P,Unmatched Index Entry,Pamfili palace,Place (Reclassified)
Index,Unmatched (Index),"Pamfili, Gianbattista (Pope Innocent X)",E21 Person,,,,P,Unmatched Index Entry,Gianbattista Pamfili,Person
Index,Unmatched (Index),"Pamfili, Giulia",E21 Person,,,,P,Unmatched Index Entry,Giulia Pamfili,Person
Index,Unmatched (Index),"Pamfili, Prince Camillo (nephew to Pope Innocent X)",E21 Person,,,,P,Unmatched Index Entry,Camillo Pamfili,Person
Index,Unmatched (Index),"Panciatichi, Senator Francesco",E53 Place,,,,P,Unmatched Index Entry,"Panciatichi, Senator Francesco",Place
Index,Unmatched (Index),"Pannini, Giovanni Paolo",E21 Person,,,,P,Unmatched Index Entry,Giovanni Paolo Pannini,Person
Index,Unmatched (Index),Papal states,E53 Place,,,,P,Unmatched Index Entry,Papal states,Place
Index,Unmatched (Index),"Paris, Venetian 18th-century artists in",E74 Group,,,,P,Unmatched Index Entry,"Paris, Venetian 18th-century artists in",Place
Index,Unmatched (Index),"Parma, Academy",E74 Group,,,,P,Unmatched Index Entry,"Parma, Academy",Place
Index,Unmatched (Index),"Parma, Dukes of",E21 Person,,,,P,Unmatched Index Entry,Dukes of Parma,Person
Index,Unmatched (Index),"Parmigianino, Francesco",E53 Place,,,,P,Unmatched Index Entry,"Parmigianino, Francesco",Place
Index,Unmatched (Index),"Pasquali, Giambattista",E21 Person,,,,P,Unmatched Index Entry,Giambattista Pasquali,Person
Index,Unmatched (Index),"Pasquetti, Leonardo",E21 Person,,,,P,Unmatched Index Entry,Leonardo Pasquetti,Person
Index,Unmatched (Index),"Passante, Bartolommeo",E21 Person,,,,P,Unmatched Index Entry,Bartolommeo Passante,Person
Index,Unmatched (Index),"Passarowitz, Peace of",E5 Event,,,,P,Unmatched Index Entry,"Passarowitz, Peace of",Work
Index,Unmatched (Index),"Passeri, Giambattista",E21 Person,,,,P,Unmatched Index Entry,Giambattista Passeri,Person
Index,Unmatched (Index),"Passignani, Domenico",E21 Person,,,,P,Unmatched Index Entry,Domenico Passignani,Person
Index,Unmatched (Index),"Patriarch, Gaspare",E22 Man-Made Object,,,,P,Unmatched Index Entry,"Patriarch, Gaspare",Work
Index,Unmatched (Index),Patron-artist relation,E28 Conceptual Object,,,,P,Unmatched Index Entry,Patron-artist relation,Work
Index,Unmatched (Index),"Paul V, Pope",E21 Person,,,,P,Unmatched Index Entry,Paul V,Person
Index,Unmatched (Index),"Pedozzi, Padre Jacopo",E21 Person,,,,P,Unmatched Index Entry,Padre Jacopo Pedozzi,Person
Index,Unmatched (Index),"Peiresc, Nicolas-Claude-Fabri de",E21 Person,,,,P,Unmatched Index Entry,Nicolas-Claude-Fabri de Peiresc,Person
Index,Unmatched (Index),Pepoli palace,E22 Man-Made Object,,,,P,Unmatched Index Entry,Palazzo Pepoli,Place (Reclassified)
Index,Unmatched (Index),"Pepusch, Dr",E21 Person,,,,P,Unmatched Index Entry,Pepusch,Person
Index,Unmatched (Index),"Peretti, Felice (Pope Sixtus V)",E21 Person,,,,P,Unmatched Index Entry,Felice Peretti,Person
Index,Unmatched (Index),"Peretti, Prince",E21 Person,,,,P,Unmatched Index Entry,Peretti,Person
Index,Unmatched (Index),"Peretti-Montalto, Cardinal Alessandro",E21 Person,,,,P,Unmatched Index Entry,Alessandro Peretti-Montalto,Person
Index,Unmatched (Index),"Perusini, Giovanni",E21 Person,,,,P,Unmatched Index Entry,Giovanni Perusini,Person
Index,Unmatched (Index),Pesaro palace,E22 Man-Made Object,,,,P,Unmatched Index Entry,Palazzo Pesaro,Place (Reclassified)
Index,Unmatched (Index),"Pesci, Prospero",E21 Person,,,,P,Unmatched Index Entry,Prospero Pesci,Person
Index,Unmatched (Index),"Petau, P. Denis",E21 Person,,,,P,Unmatched Index Entry,P. Denis Petau,Person
Index,Unmatched (Index),"Peterborough, 3rd Earl of",E21 Person,,,,P,Unmatched Index Entry,3rd of Peterborough,Person
Index,Unmatched (Index),"Philip Neri, St",E21 Person,,,,P,Unmatched Index Entry,St Philip Neri,Person
Index,Unmatched (Index),"Pian, Giovanni del",E21 Person,,,,P,Unmatched Index Entry,Giovanni del Pian,Person
Index,Unmatched (Index),"Piastrini, G. D.",E21 Person,,,,P,Unmatched Index Entry,G. D. Piastrini,Person
Index,Unmatched (Index),"Piccino, Jacopo",E21 Person,,,,P,Unmatched Index Entry,Jacopo Piccino,Person
Index,Unmatched (Index),"Pietri, Pietro di",E21 Person,,,,P,Unmatched Index Entry,Pietro di Pietri,Person
Index,Unmatched (Index),"Pignatelli, Antonio (Pope Innocent XII)",E21 Person,,,,P,Unmatched Index Entry,Antonio Pignatelli,Person
Index,Unmatched (Index),"Pilati, Carlo Antonio",E21 Person,,,,P,Unmatched Index Entry,Carlo Antonio Pilati,Person
Index,Unmatched (Index),"Pio, Cardinal",E21 Person,,,,P,Unmatched Index Entry,Pio,Person
Index,Unmatched (Index),"Pio, Prince",E21 Person,,,,P,Unmatched Index Entry,Pio,Person
Index,Unmatched (Index),"Piola, Paolo Girolamo",E21 Person,,,,P,Unmatched Index Entry,Paolo Girolamo Piola,Person
Index,Unmatched (Index),"Piranesi, Giovanni Battista",E21 Person,,,,P,Unmatched Index Entry,Giovanni Battista Piranesi,Person
Index,Unmatched (Index),"Pisa, Treaty of",E5 Event,,,,P,Unmatched Index Entry,"Pisa, Treaty of",Work
Index,Unmatched (Index),Pisani palace,E22 Man-Made Object,,,,P,Unmatched Index Entry,Palazzo Pisani,Place (Reclassified)
Index,Unmatched (Index),"Pisani, Almorò",E21 Person,,,,P,Unmatched Index Entry,Almorò Pisani,Person
Index,Unmatched (Index),"Pitt, William, the Elder",E21 Person,,,,P,Unmatched Index Entry,"William, the Elder Pitt",Person
Index,Unmatched (Index),"Pitteri, Marco",E21 Person,,,,P,Unmatched Index Entry,Marco Pitteri,Person
Index,Unmatched (Index),Pitti Palace,E22 Man-Made Object,,,,P,Unmatched Index Entry,Palazzo Pitti,Place (Reclassified)
Index,Unmatched (Index),"Pittoni, Giovan Battista",E21 Person,,,,P,Unmatched Index Entry,Giovan Battista Pittoni,Person
Index,Unmatched (Index),Platnerus,E21 Person,,,,P,Unmatched Index Entry,Platnerus,Person
Index,Unmatched (Index),"Po, Giacomo del",E21 Person,,,,P,Unmatched Index Entry,Giacomo del Po,Person
Index,Unmatched (Index),"Podestà, Andrea",E21 Person,,,,P,Unmatched Index Entry,Andrea Podestà,Person
Index,Unmatched (Index),"Poelenburgh, Cornelius",E21 Person,,,,P,Unmatched Index Entry,Cornelius Poelenburgh,Person
Index,Unmatched (Index),"Polazzo, Francesco",E53 Place,,,,P,Unmatched Index Entry,"Polazzo, Francesco",Place
Index,Unmatched (Index),"Poleni, Marchese Giovanni",E22 Man-Made Object,,,,P,Unmatched Index Entry,Giovanni Poleni,Person (Reclassified)
Index,Unmatched (Index),"Pomarance, Niccolò Circignani dalle",E21 Person,,,,P,Unmatched Index Entry,Niccolò Circignani dalle Pomarance,Person
Index,Unmatched (Index),Pomerancio,E21 Person,,,,P,Unmatched Index Entry,Pomerancio,Person
Index,Unmatched (Index),"Pompeati, Domenico",E21 Person,,,,P,Unmatched Index Entry,Domenico Pompeati,Person
Index,Unmatched (Index),"Pordenone, Giovanni Antonio da",E21 Person,,,,P,Unmatched Index Entry,Giovanni Antonio da Pordenone,Person
Index,Unmatched (Index),"Portland, Henry, first Duke of",E21 Person,,,,P,Unmatched Index Entry,"Henry, first of Portland",Person
Index,Unmatched (Index),"Pourbus, Franz, the Younger",E21 Person,,,,P,Unmatched Index Entry,"Franz, the Younger Pourbus",Person
Index,Unmatched (Index),"Poussin, Gaspard",E21 Person,,,,P,Unmatched Index Entry,Gaspard Poussin,Person
Index,Unmatched (Index),"Powis, Lord",E21 Person,,,,P,Unmatched Index Entry,Powis,Person
Index,Unmatched (Index),Prices paid to artists,E28 Conceptual Object,,,,P,Unmatched Index Entry,Prices paid to artists,Work
Index,Unmatched (Index),"Procaccini, Ercole",E21 Person,,,,P,Unmatched Index Entry,Ercole Procaccini,Person
Index,Unmatched (Index),"Professional classes, patronage by",E21 Person,,,,P,Unmatched Index Entry,Patronage by Professional classes,Person
Index,Unmatched (Index),Provincial centres of art patronage,E28 Conceptual Object,,,,P,Unmatched Index Entry,Provincial centres of art patronage,Work
Index,Unmatched (Index),Publishers in Venice,E53 Place,,,,P,Unmatched Index Entry,Publishers in Venice,Place
Index,Unmatched (Index),"Pufendorf, Samuel",E21 Person,,,,P,Unmatched Index Entry,Samuel Pufendorf,Person
Index,Unmatched (Index),"Pöllnitz, Baron de",E21 Person,,,,P,Unmatched Index Entry,De Pöllnitz,Person
Index,Unmatched (Index),"Pöppelmann, Matthes Daniel",E21 Person,,,,P,Unmatched Index Entry,Matthes Daniel Pöppelmann,Person
Index,Unmatched (Index),Quirinal,E53 Place,,,,Q-R,Unmatched Index Entry,Quirinal,Place
Index,Unmatched (Index),"Ranuzzi, Vincenzo",E21 Person,,,,Q-R,Unmatched Index Entry,Vincenzo Ranuzzi,Person
Index,Unmatched (Index),"Rapaccioli, Cardinal",E21 Person,,,,Q-R,Unmatched Index Entry,Rapaccioli,Person
Index,Unmatched (Index),Raphael,E21 Person,,,,Q-R,Unmatched Index Entry,Raphael,Person
Index,Unmatched (Index),"Rastatt, Treaty of",E5 Event,,,,Q-R,Unmatched Index Entry,"Rastatt, Treaty of",Work
Index,Unmatched (Index),Reason and fantasy,E28 Conceptual Object,,,,Q-R,Unmatched Index Entry,Reason and fantasy,Work
Index,Unmatched (Index),"Religious orders, patronage by",E28 Conceptual Object,,,,Q-R,Unmatched Index Entry,"Religious orders, patronage by",Work
Index,Unmatched (Index),Rembrandt,E21 Person,,,,Q-R,Unmatched Index Entry,Rembrandt,Person
Index,Unmatched (Index),"Resta, Padre Sebastiano",E21 Person,,,,Q-R,Unmatched Index Entry,Padre Sebastiano Resta,Person
Index,Unmatched (Index),"Rezzonico, Carlo (Pope Clement XIII)",E21 Person,,,,Q-R,Unmatched Index Entry,Carlo Rezzonico,Person
Index,Unmatched (Index),"Ribera, Don Ferdinando Afan de",E21 Person,,,,Q-R,Unmatched Index Entry,Ferdinando Afan de Ribera,Person
Index,Unmatched (Index),"Ribera, Giuseppe",E21 Person,,,,Q-R,Unmatched Index Entry,Giuseppe Ribera,Person
Index,Unmatched (Index),Riccardi palace,E22 Man-Made Object,,,,Q-R,Unmatched Index Entry,Palazzo Riccardi,Place (Reclassified)
Index,Unmatched (Index),"Ricchini, Francesco Maria",E53 Place,,,,Q-R,Unmatched Index Entry,"Ricchini, Francesco Maria",Place
Index,Unmatched (Index),"Ricciardi, Giambattista",E21 Person,,,,Q-R,Unmatched Index Entry,Giambattista Ricciardi,Person
Index,Unmatched (Index),"Richard, Abbé",E21 Person,,,,Q-R,Unmatched Index Entry,Abbé Richard,Person
Index,Unmatched (Index),"Richeôme, Louis",E21 Person,,,,Q-R,Unmatched Index Entry,Louis Richeôme,Person
Index,Unmatched (Index),"Richmond, Duke of",E21 Person,,,,Q-R,Unmatched Index Entry,Of Richmond,Person
Index,Unmatched (Index),"Richter, Giovanni",E21 Person,,,,Q-R,Unmatched Index Entry,Giovanni Richter,Person
Index,Unmatched (Index),Riminaldi,E21 Person,,,,Q-R,Unmatched Index Entry,Riminaldi,Person
Index,Unmatched (Index),"Riviera, Lazzaro",E21 Person,,,,Q-R,Unmatched Index Entry,Lazzaro Riviera,Person
Index,Unmatched (Index),"Rockingham, Lord",E21 Person,,,,Q-R,Unmatched Index Entry,Rockingham,Person
Index,Unmatched (Index),"Romanelli, Giovan Francesco",E53 Place,,,,Q-R,Unmatched Index Entry,"Romanelli, Giovan Francesco",Place
Index,Unmatched (Index),"Roncalli, Cristoforo (Pomerancio)",E21 Person,,,,Q-R,Unmatched Index Entry,Cristoforo Roncalli,Person
Index,Unmatched (Index),"Rosa, Paceco de",E21 Person,,,,Q-R,Unmatched Index Entry,Paceco de Rosa,Person
Index,Unmatched (Index),"Rosenberg, Count",E21 Person,,,,Q-R,Unmatched Index Entry,Rosenberg,Person
Index,Unmatched (Index),"Rosenberg, Mme",E21 Person,,,,Q-R,Unmatched Index Entry,Rosenberg,Person
Index,Unmatched (Index),"Rosis, Giuseppe de",E21 Person,,,,Q-R,Unmatched Index Entry,Giuseppe de Rosis,Person
Index,Unmatched (Index),"Rospigliosi, Giulio (Pope Clement IX)",E21 Person,,,,Q-R,Unmatched Index Entry,Giulio Rospigliosi,Person
Index,Unmatched (Index),"Rossano, Princess of",E21 Person,,,,Q-R,Unmatched Index Entry,Of Rossano,Person
Index,Unmatched (Index),"Rossi, Carlo de'",E21 Person,,,,Q-R,Unmatched Index Entry,Carlo de' Rossi,Person
Index,Unmatched (Index),"Rossi, Luigi de'",E21 Person,,,,Q-R,Unmatched Index Entry,Luigi de' Rossi,Person
Index,Unmatched (Index),"Rossi, Mattia de'",E21 Person,,,,Q-R,Unmatched Index Entry,Mattia de' Rossi,Person
Index,Unmatched (Index),"Rossi, Ventura and Lorenzo",E21 Person,,,,Q-R,Unmatched Index Entry,Ventura and Lorenzo Rossi,Person
