Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category
Index,Unmatched (Index),"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",E21 Person,,,,A,Unmatched Index Entry,Augustus III of Poland,Person
Index,Unmatched (Index),"Azzolini, Cardinal",E21 Person,,,,A,Unmatched Index Entry,Azzolini,Person
Index,Unmatched (Index),Baglioni collection,E22 Man-Made Object,,,,B,Unmatched Index Entry,Baglioni collection,Work
Index,Unmatched (Index),"Bagnara, Duchess of",E21 Person,,,,B,Unmatched Index Entry,Of Bagnara,Person
Index,Unmatched (Index),"Bagutti, Pietro Martire",E21 Person,,,,B,Unmatched Index Entry,Pietro Martire Bagutti,Person
Index,Unmatched (Index),"Baines, Sir Thomas",E21 Person,,,,B,Unmatched Index Entry,Thomas Baines,Person
Index,Unmatched (Index),"Baldoini, Giovanni Gasparo",E21 Person,,,,B,Unmatched Index Entry,Giovanni Gasparo Baldoini,Person
Index,Unmatched (Index),Bamboccianti,E74 Group,,,,B,Unmatched Index Entry,Bamboccianti,Place
Index,Unmatched (Index),"Bandino, Cardinal",E21 Person,,,,B,Unmatched Index Entry,Bandino,Person
Index,Unmatched (Index),"Baratta, Francesco",E53 Place,,,,B,Unmatched Index Entry,"Baratta, Francesco",Place
Index,Unmatched (Index),"Barbarigo, Caterina",E21 Person,,,,B,Unmatched Index Entry,Caterina Barbarigo,Person
Index,Unmatched (Index),"Barbaro, Antonio",E21 Person,,,,B,Unmatched Index Entry,Antonio Barbaro,Person
Index,Unmatched (Index),Barberini family,E74 Group,,,,B,Unmatched Index Entry,Barberini family,Place
Index,Unmatched (Index),Barberini palace,E22 Man-Made Object,,,,B,Unmatched Index Entry,Palazzo Barberini,Place (Reclassified)
Index,Unmatched (Index),"Barberini, Cardinal Antonio (brother to Urban VIII) (Cardinal di S. Onofrio)",E21 Person,,,,B,Unmatched Index Entry,Antonio Barberini,Person
Index,Unmatched (Index),"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Antonio Barberini,Person
Index,Unmatched (Index),"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,,,B,Unmatched Index Entry,"Barberini, Cardinal Francesco",Place
Index,Unmatched (Index),"Barberini, Carlo (brother to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Carlo Barberini,Person
Index,Unmatched (Index),"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Maffeo Barberini,Person
Index,Unmatched (Index),"Barberini, Monsignor Francesco (uncle to Urban VIII)",E53 Place,,,,B,Unmatched Index Entry,"Barberini, Monsignor Francesco",Place
Index,Unmatched (Index),"Barberini, Prince Maffeo (son of Taddeo Barberini)",E21 Person,,,,B,Unmatched Index Entry,Maffeo Barberini,Person
Index,Unmatched (Index),"Barberini, Taddeo (nephew to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Taddeo Barberini,Person
Index,Unmatched (Index),"Baretti, Giuseppe",E21 Person,,,,B,Unmatched Index Entry,Giuseppe Baretti,Person
Index,Unmatched (Index),Barnabotti,E74 Group,,,,B,Unmatched Index Entry,Barnabotti,Place
Index,Unmatched (Index),"Baronio, Cardinal",E21 Person,,,,B,Unmatched Index Entry,Baronio,Person
Index,Unmatched (Index),"Bartoli, Pietro Santo",E21 Person,,,,B,Unmatched Index Entry,Pietro Santo Bartoli,Person
Index,Unmatched (Index),"Bartolommeo, Fra",E21 Person,,,,B,Unmatched Index Entry,Bartolommeo,Person
Index,Unmatched (Index),"Bassanino, Virgilio",E21 Person,,,,B,Unmatched Index Entry,Virgilio Bassanino,Person
Index,Unmatched (Index),"Bassano, Jacopo",E21 Person,,,,B,Unmatched Index Entry,Jacopo Bassano,Person
Index,Unmatched (Index),"Bassi, Francesco (il Cremonese)",E53 Place,,,,B,Unmatched Index Entry,"Bassi, Francesco",Place
Index,Unmatched (Index),"Batoni, Pompeo",E21 Person,,,,B,Unmatched Index Entry,Pompeo Batoni,Person
Index,Unmatched (Index),"Beccari, Dr",E21 Person,,,,B,Unmatched Index Entry,Beccari,Person
Index,Unmatched (Index),"Bedford, John, 4th Duke of",E21 Person,,,,B,Unmatched Index Entry,"John, 4th of Bedford",Person
Index,Unmatched (Index),"Bellori, Gian Pietro",E21 Person,,,,B,Unmatched Index Entry,Gian Pietro Bellori,Person
