Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason
Manual,Unmatched (Manual),,,Apotheosis of Aeneas,A33,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Apotheosis of the Pisani,A34,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Arch. del Gov. di Roma,G154,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Archiginnasio,G116,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Archivio Comunale,G95,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Archivio Comunale di Treviso,G143,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Archivio Mediceo,G146,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Archivio Storico per la Province Napoletane,G167,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Archivio di Stato,G67,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Archiviodella Compagnia di Gesù,G166,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Arena Chapel,G41,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Argus guarding,A35,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Ariadne being woken by Love,A36,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Arnaldi Lodovico,R120,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Art Institute of Chicago Robert A. Waller Fund,G93,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,"Arts Graphiques de la Cité,Agraci",G87,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Augustinian Monastery Altarpiece,A305,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Augustinian church,G111,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Avviso,G131,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Babylon,A37,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bacchanalia,A39,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bacchus,A38,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bacchus and Ariadne,A40,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Barberini Chapel in S. Andrea della Valle,A41,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Barberini Chapelin S.Andreadella Valle),A42,,work-English_table.csv,Unmatched & Non-Q ID
