Name,QID,Source,Context,Match_Method
Contarini villa,Q4231625,Index,Location: Mira,Substring Match (contarini)
Farnese Palace,Q848386,Index,Location: Rome,Substitution Match
Fitzwilliam Museum,Q1421440,List of Plates,"b Carlo Dolci: Sir Thomas Baines (Fitzwilliam Museum, Cambridge)",Exact Match
Foscarini palace,Q124024161,Index,Location: ,Substitution Match
French Academy in Rome,Q337494,Index,Location: ,Exact Match
Galleria Nazionale d'Arte Antica,Q2266081,List of Plates,"21 a Sassoferrato: Madonna of the Rosary with Saints Dominic and Catherine (S. Sabina, Rome) 126 b Sassoferrato: Madonna and Child (Galleria Nazionale, Rome)",Manual Correction
Galleria Spada,Q3757699,List of Plates,"22 a Michelangelo Cerquozzi: The artist with a group of friends (Kassel, Kunstsammlungen) b Michelangelo Cerquozzi: The Revolt of Masaniello (Galleria Spada, Rome)",Exact Match
Gondi palace,Q1083014,Index,Location: Paris,Substitution Match
Grassi collection,Q23038852,Index,Location: Venice,Substring Match (grassi)
Kunsthistorisches Museum,Q95569,List of Plates,"28 a Guido Cagnacci: Death of Cleopatra (Kunsthistorisches Museum, Vienna) b Burnacini: The Elysian Fields from the opera La Monarchia Latina Trionfante, Vienna 1678",Exact Match
Labia collection,Q1406501,Index,Location: Venice,Substring Match (labia)
Louvre,Q908517,Both,19 a Poussin: Moses trampling on Pharaoh’s crown (Louvre) b Claude: View of Delphi with a Procession (Art Institute of Chicago Robert A. Waller Fund),Exact Match
Manin palace,Q124029132,Index,Location: Venice,Substitution Match
Marucelli Palace,Q3890107,Index,Location: Florence,Substitution Match
Metropolitan Museum,Q160236,List of Plates,"34 Velasquez: Juan de Pareja (Metropolitan Museum, New York)",Manual Correction
Montanari palace,Q3757774,Index,Location: Vicenza,Substitution Match
"Munich, Nymphenburg palace",Q131631,Index,Location: ,Substring Match (nymphenburg palace)
Museo Correr,Q1470912,List of Plates,"48 a Marco Pitteri: Flaminio Corner (from Giuseppe Angeli) b Gian Antonio Faldoni: Zaccaria Sagredo (from B. Nazari) (Museo Correr, Venice) c Alessandro Longhi: Carlo Lodoli (Museo Correr, Venice) d Anonymous: Francesco Algarotti (Museo Correr, Venice)",Exact Match
Museo di Capodimonte,Q290549,List of Plates,"32 a Ribera: The drunken Silenus (Museo di Capodimonte, Naples')",Exact Match
Museum Boijmans Van Beuningen,Q679527,List of Plates,"17 a Bernini: Caricature of Cassiano dal Pozzo (Museum Boy mans—van 104 Beuningen, Rotterdam) b Claude Mellan: Vincenzo Giustiniani c Ottavio Leoni: Paolo Giordano Orsini, Duke of Bracciano",Manual Correction
National Gallery of Scotland,Q180788,List of Plates,b Rubens: The Feast of Herod (National Gallery of Scotland),Substring Match (national gallery)
