序号,主体 (Subject),主体 QID,谓语 (Predicate),客体 (Object),客体 QID,Source_Row
278,Prato della Valle,Q2636862,created,Canaletto,Q182664,98
279,Prato della Valle,Q2636862,depicts,Prato della Valle,/,98
280,Prato della Valle,Q2636862,has title role,Padua,/,98
281,Original proposals for reclaiming Prato della Valle,/,created,Domenico Cerato,Q3712960,99
282,View ofjohn Strange’s villa at Paese,/,created,Francesco Guardi,Q318769,100
283,View ofjohn Strange’s villa at Paese,/,owned by,Private Collection,/,100
284,View ofjohn Strange’s villa at Paese,/,current location is,London,/,100
285,Private Collection,/,is located in,London,/,100
286,View ofjohn Strange’s villa at Paese,/,is located in,Treviso,/,100
287,Joint caricature of Simonelli and Mola 400,/,created,Mola and Simonelli,Q1192715,101
288,Joint caricature of Simonelli and Mola 400,/,owned by,formerly Vitale Bloch collection,/,101
289,Mola painting the portrait of Pope Alexander VII,/,created,Agostino Masucci,Q395680,102
290,Mola painting the portrait of Pope Alexander VII,/,owned by,National Museum,/,102
291,Mola painting the portrait of Pope Alexander VII,/,current location is,Stockholm,/,102
292,National Museum,/,is located in,Stockholm,/,102
293,Fame carrying the name of Louis XIV to the Temple of Immortality,/,created,Baldassare Franceschini,Q2403504,103
294,Fame carrying the name of Louis XIV to the Temple of Immortality,/,owned by,Versailles,/,103
295,Jupiter handed over by Cybele to the Corybantes to be fed,/,created,G. M. Crespi,Q528620,104
296,Jupiter handed over by Cybele to the Corybantes to be fed,/,owned by,Staatsgalerie,/,104
297,Jupiter handed over by Cybele to the Corybantes to be fed,/,current location is,Stuttgart,/,104
298,Staatsgalerie,/,is located in,Stuttgart,/,104
299,Three portraits of Doges,/,created,Francesco Maggiotto,Q3080993,105
300,Three portraits of Doges,/,owned by,Private Collections,/,105
301,Maecenas presenting the Arts to Augustus,Q12123145,created,Tiepolo (engraved Leonardis),Q186202,106
