Head,Head_QID,Relation,Tail,Tail_QID,Source_Row
Allegory of Rome,Q108758158,created_by,Valentin,Q1337275,2
Allegory of Rome,Q108758158,located_at,"Finnish Institute, Rome",,2
Allegory of Rome,Q108758158,depicts,Rome,,2
Maffeo Barberini,Q16596970,created_by,Caravaggio,Q42207,3
Maffeo Barberini,Q16596970,located_at,"Private Collection, Florence",,3
Maffeo Barberini as Pope Urban VIII,,created_by,Bernini,Q712397,4
Maffeo Barberini as Pope Urban VIII,,located_at,"Palazzo dei Conservatori, Rome",Q64103,4
Cardinal Francesco Barberini,Q2662344,created_by,Ottavio Leoni,Q389768,5
Cardinal Antonio Barberini,,created_by,Carlo Maratta,Q538998,6
Cardinal Antonio Barberini,,located_at,"Duke of Northumberland, Alnwick Castle",,6
Cardinal Bentivoglio,,created_by,Van Dyck,Q150679,7
Cardinal Bentivoglio,,located_at,"Pitti, Florence",,7
Marcello Sacchetti,Q6087600,created_by,Pietro da Cortona,Q333323,8
Marcello Sacchetti,Q6087600,located_at,"Villa Borghese, Rome",Q3558478,8
Cardinal Scipione Borghese,,created_by,Bernini,Q712397,9
Cardinal Scipione Borghese,,located_at,"Villa Borghese, Rome",Q3558478,9
View ofVilla Borghese in 1630,,created_by,Guglielmo Baur,Q3119268,10
View ofVilla Borghese in 1630,,located_at,"Villa Borghese, Rome",Q3558478,10
Hunt of Diana,,created_by,Domenichino,Q320118,11
Hunt of Diana,,located_at,"Villa Borghese, Rome",Q3558478,11
"Barberini Chapel in S. Andrea della Valle, Rome",,created_by,Matteo Castelli,Q1909346,12
"Frontispiece of Girolamo Teti: Aedes Barberinae ad Quirinalem, Rome 1642, with view of Palazzo Barberini",,created_by,Guido Abbatini,Q282810,13
"Frontispiece of Girolamo Teti: Aedes Barberinae ad Quirinalem, Rome 1642, with view of Palazzo Barberini",,depicts,Palazzo Barberini,,13
Rape of the Sabines,,created_by,Pietro da Cortona,Q333323,14
Rape of the Sabines,,located_at,"Pinacoteca Capitolina, Rome",,14
Rape of Helen,,created_by,Pietro da Cortona,Q333323,15
Rape of Helen,,located_at,"Ufficio dell’Assessore Comunale alle Belle Arti, Rome",Q109927986,15
Meeting of Esau and Jacob,,created_by,Gio. Maria Bottalla,Q10289899,16
Meeting of Esau and Jacob,,located_at,"Pinacoteca Capitolina, Rome",,16
Joseph Sold by his Brothers,Q59710099,created_by,Pietro Testa,Q2155480,17
Joseph Sold by his Brothers,Q59710099,located_at,"Pinacoteca Capitolina, Rome",,17
Allegory of Divine Wisdom,Q111821593,created_by,Andrea Sacchi,Q495008,18
Allegory of Divine Wisdom,Q111821593,located_at,"Palazzo Barberini, Rome",Q1136614,18
Allegory of Divine Wisdom,Q111821593,depicts,Divine Wisdom,,18
Glorification of the Reign of Urban VIII,,created_by,Pietro da Cortona,Q333323,19
Glorification of the Reign of Urban VIII,,located_at,"Palazzo Barberini, Rome",Q1136614,19
Triumph of The Name of Jesus,Q54647365,created_by,Giovanni Battista Gaulli,Q520573,20
