序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
113,"Beccaria, Cesare",,,
114,"Beccaria, Cesare",,Dei delitti e delle pene,
115,"Bedford, John, 4th Duke of",,,
116,"Bella, Stefano della",,,
117,"Bellini, Gentile",,,
118,"Bellini, Giovanni",,,
119,"Belloni, Giovanni Antonio",,,
120,"Bellori, Gian Pietro",,,
121,"Bellori, Gian Pietro",,as librarian and antiquarian to Queen Christina of Sweden,
122,"Bellori, Gian Pietro",,Descrizione delle Immagini dipinte da Raffaelo d'Urbino,
123,"Bellori, Gian Pietro",,devotion to Raphael,
124,"Bellori, Gian Pietro",,influence of his views,
125,"Bellori, Gian Pietro",,Le Vite de Pittori... Moderni,
126,"Bellotti, Pietro",,,
127,"Bellotto, Bernardo",,,
128,"Bellotto, Bernardo",,"painting of ruins of Church of the Cross, Dresden",
129,"Bellotto, Bernardo",,work in Warsaw,
130,"Bellucci, Antonio",,,
131,"Bellucci, Antonio",,Descent from the Cross,
132,"Bellucci, Antonio",,Nativity,
133,"Bellucci, Giovanni Battista",,,
134,"Bencovich, Federico",,,
135,Benedictines,Venice,,
136,"Benefial, Marco",,,
137,"Bentinck, William",,,
138,"Bentivoglio, Enzo",,,
139,"Bentivoglio, Cardinal Guido",,,
140,"Bentivoglio, Cardinal Guido",,patronage of Claude,
141,"Bentivoglio, Ippotilo",,,
142,"Bernini, Domenico",,,
143,"Bernini, Gian Lorenzo",,,
144,"Bernini, Gian Lorenzo",,and the Barberini,
145,"Bernini, Gian Lorenzo",,and Gesù,
146,"Bernini, Gian Lorenzo",,and S. Andrea al Quirinale,
147,"Bernini, Gian Lorenzo",,and S. Bibiana,
148,"Bernini, Gian Lorenzo",,Angels carrying Symbols of the Passion (on Ponte S. Angelo),
149,"Bernini, Gian Lorenzo",,Apollo and Daphne,
150,"Bernini, Gian Lorenzo",,baldacchino for St Peter's,
151,"Bernini, Gian Lorenzo",,bust of Archbishop of Pisa,
152,"Bernini, Gian Lorenzo",,bust of Charles I,
153,"Bernini, Gian Lorenzo",,bust of Louis XIV,
154,"Bernini, Gian Lorenzo",,bust of Richelieu,
155,"Bernini, Gian Lorenzo",,busts and statues of Urban VIII and Barberini family,
156,"Bernini, Gian Lorenzo",,caricature of Cassiano dal Pozzo,
157,"Bernini, Gian Lorenzo",,colonnade of St Peter's,
158,"Bernini, Gian Lorenzo",,Constantine,
159,"Bernini, Gian Lorenzo",,David,
160,"Bernini, Gian Lorenzo",,decline in fortunes under Innocent X,
161,"Bernini, Gian Lorenzo",,designs for Louvre,
162,"Bernini, Gian Lorenzo",,desire to be considered as Florentine,
163,"Bernini, Gian Lorenzo",,earnings,
164,"Bernini, Gian Lorenzo",,equestrian statue of Louis XIV,
165,"Bernini, Gian Lorenzo",,Fountain of the Four Rivers,
166,"Bernini, Gian Lorenzo",,Fountain of the Four Rivers,small version in possession of Marchese del Carpio
167,"Bernini, Gian Lorenzo",,"head, medal, and bust of Paolo Giordano Orsini, Duke of Bracciano",
168,"Bernini, Gian Lorenzo",,invitation by Mazarin to settle in France,
169,"Bernini, Gian Lorenzo",,L'Inandazione del Tevere,
170,"Bernini, Gian Lorenzo",,mystical and expressionist element in later work,
171,"Bernini, Gian Lorenzo",,Neptune,
