序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
148,"Guarana, Giacomo",,,
149,"Guarana, Giacomo",,Sacrifice of Iphigenia,
150,"Guardi, Francesco",,,
151,"Guardi, Francesco",,della Lena on,
152,"Guardi, Francesco",,Sala del Maggior Consiglio,
153,"Guardi, Francesco",,scenes from Gerusalemme Liberata,
154,"Guardi, Francesco",,Giovanni Vianello on,
155,"Guardi, Francesco",,work for John Strange,
156,"Guardi, Gian Antonio",,,
157,"Guardi, Gian Antonio",,Parlatorio,
158,"Guardi, Gian Antonio",,portraits of Schulenburg,
159,"Guardi, Gian Antonio",,Ridotto,
160,"Guardi, Gian Antonio",,Sala del Maggior Consiglio,
161,"Guardi, Gian Antonio",,scenes from Gerusalemme Liberata,
162,"Guardi, Gian Antonio",,Turkish scenes,
163,"Guardi, Gian Antonio",,work for Marshal Schulenburg as copyist,
164,"Guardi, Gian Antonio",,work for Marshal Schulenburg as copyist,Fortitude (Tintoretto)
165,"Guardi, Gian Antonio",,work for Marshal Schulenburg as copyist,Madonna and Child with Saints (Veronese)
166,"Guardi, Gian Antonio",,work for Marshal Schulenburg as copyist,Marriage at Cana (Veronese)
167,"Guardi, Gian Antonio",,work for Marshal Schulenburg as copyist,Nativity (Bassano)
168,"Guardi, Gian Antonio",,work for Marshal Schulenburg as copyist,Temperance (Tintoretto)
169,Guercino (Francesco Barbieri),,,
170,Guercino (Francesco Barbieri),,Aurora,
171,Guercino (Francesco Barbieri),,Carità Romana,
172,Guercino (Francesco Barbieri),,contract for altarpiece in Sicilian monastery,
173,Guercino (Francesco Barbieri),,Coriolanus and his Mother,
174,Guercino (Francesco Barbieri),,Death of Dido,
175,Guercino (Francesco Barbieri),,Flight into Egypt,
176,Guercino (Francesco Barbieri),,payment,
177,Guercino (Francesco Barbieri),,rates of charging,
178,Guercino (Francesco Barbieri),,refusal of Charles I's invitation to England,
179,Guercino (Francesco Barbieri),,St Peter,
180,Guercino (Francesco Barbieri),,St William of Aquitaine,
181,Guercino (Francesco Barbieri),,Scene from the Life of Cato,
182,Guercino (Francesco Barbieri),,Semiramis,
183,Guercino (Francesco Barbieri),,Venus mourning over the Death of Adonis,
184,Guercino (Francesco Barbieri),,War between the Romans and the Sabines,
185,Guercino (Francesco Barbieri),,work for Don Antonio Ruffo,
186,"Guicciardini, Francesco",,,
187,"Guicciardini, Francesco",,Histories,
188,"Guidi, Domenico",,,
189,"Guidi, Domenico",,drawings of Prudence and Justice,
190,"Guidi, Domenico",,Fame inscribing the glories of Louis XIV,
191,"Guidi, Domenico",,sculptured groups for gardens at Versailles,
192,"Guidiccioni, Lelio",,,
193,"Guidotti, Paolo",,,
194,Gustavus III of Sweden,,,
195,Gustavus Adolphus of Sweden,,,
196,"Guzman, Gasparo de Haro y",,"see under Carpio, Marchese del",
