序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
139,"Mazarin, Cardinal",,purchase of Bentivoglio palace in Rome,
140,"Mazarin, Cardinal",,taste,
141,"Mazenta, Ambrogio",,,
142,"Mazza, Giuseppe",,,
143,"Mazzarini, Giulio",,see under Mazarin,
144,"Mazzoni, Nicola",,,
145,"Mead, Dr Richard",,,
146,"Mecklenburg, Christian Louis, Duke of",,,
147,"Medici, Anna Maria Ludovica de' (wife of Johann Wilhelm, Elector Palatinate)",,,
148,"Medici, Cosimo III de'",,,
149,"Medici, Ferdinando II de', Grand Duke of Tuscany",,,
150,"Medici, Grand Prince Ferdinand de'",,,
151,"Medici, Grand Prince Ferdinand de'",,and art exhibitions,
152,"Medici, Grand Prince Ferdinand de'",,and G. M. Crespi,
153,"Medici, Grand Prince Ferdinand de'",,and G. M. Crespi,support in break with conventional 'history picture'
154,"Medici, Grand Prince Ferdinand de'",,and Fumiani,
155,"Medici, Grand Prince Ferdinand de'",,and Gabbiani,
156,"Medici, Grand Prince Ferdinand de'",,and Karl Loth,
157,"Medici, Grand Prince Ferdinand de'",,and Livio Mehus,
158,"Medici, Grand Prince Ferdinand de'",,and S. Ricci,
159,"Medici, Grand Prince Ferdinand de'",,and 16th-century Venetian painting,
160,"Medici, Grand Prince Ferdinand de'",,and Venice,
161,"Medici, Grand Prince Ferdinand de'",,collection,
162,"Medici, Grand Prince Ferdinand de'",,employment of Niccolò Cassana,
163,"Medici, Grand Prince Ferdinand de'",,patronage of contemporary artists,
164,"Medici, Grand Prince Ferdinand de'",,collaboration with painters,
165,"Medici, Grand Prince Ferdinand de'",,support of writers,
166,"Medici, Grand Prince Ferdinand de'",,taste in painting,
167,"Medici, Francesco Maria de'",,,
168,"Medici, Grand Duke Gian Gastone de'",,,
169,"Medici, Isabella de' (Duchess of Bracciano)",,,
170,"Medici, Cardinal Leopoldo de'",,,
171,"Medici, Don Lorenzo de'",,,
172,"Medici, Marie de",,,
173,"Mehus, Livio",,,
174,"Mei, Bernardino",,,
175,"Mei, Bernardino",,Justice and Peace,
176,"Mei, Bernardino",,Youth rescued from the Pleasures of Venus,
177,"Melanconici, Niccolò",,,
178,"Melanconici, Niccolò",,Abraham,
179,"Melanconici, Niccolò",,David with the Head of Goliath,
180,"Melanconici, Niccolò",,"work in S. Maria Maggiore, Bergamo",
181,"Melanconici, Niccolò",,"work in S. Maria Maggiore, Bergamo",payment
182,"Mellino, Cardinal",,,
183,"Memmo, Andrea",,,
184,"Memmo, Andrea",,and Carlo Lodoli,
185,"Memmo, Andrea",,appointment as Procuratore di San Marco,
186,"Memmo, Andrea",,as Inquisitore alle Arti,
187,"Memmo, Andrea",,collection of paintings,
188,"Memmo, Andrea",,Elementi dell'Architettura lodoliana,
189,"Memmo, Andrea",,enthusiasm for political reform,
190,"Memmo, Andrea",,notes on the status of painters,
191,"Memmo, Andrea",,"plan for Prà della Valle, Padua",
192,"Memmo, Andrea",,publication of Lodoli's Apologhi,
193,"Mengs, Anton Rafael",,,
194,"Menzini, Benedetto",,,
195,"Mercati, Giovanni Battista",,,
196,Messina,,,
197,"Messina, Antonello da",,,
198,"Messina, Antonello da",,Deposition,
199,Miani family,Venice,,
200,"Metastasio, Pietro",,,
201,Michelangelo,,,
202,Michelangelo,,"Risen Christ (in Santa Maria sopra Minerva, Rome)",
203,"Miel, Jan",,,
204,"Mieris, Frans van",,,
205,"Migliori, Francesco",,,
206,"Milizia, Francesco",,,
207,"Miller, Dwight",,,
208,"Millet, Jean-François",,,
209,"Milton, John",,,
210,"Mingardi, Francesco",,,
211,"Mingardi, Giovanni Battista",,,
212,"Minitti, Mario",,,
213,"Mitelli, Agostino",,,
214,"Mocenigo, Doge Alvise",,,
215,Modelli,,,
216,"Modena, Duke of",,,
217,"Mola, Pier Francesco",,,
218,"Mola, Pier Francesco",,Four Elements,
219,"Mola, Pier Francesco",,Five Elements,
220,"Molinari, Antonio",,,
221,"Molinos, Miguel de",,,
222,"Molinos, Miguel de",,Guida Spirituale,
223,"Monaco, Pietro",,,
224,"Monaco, Pietro",,activities as dealer,
225,"Monari, Cristofano",,,
226,"Monconys, Balthasar de",,,
227,'Monsù Desiderio',,"see under Nomé, François",
228,"Monnot, Pierre",,,
229,"Montagu, Jennifer",,,
230,"Montagu, Lady Mary Wortley",,,
231,"Montaigne, Michel de",,,
232,Montanari palace,Vicenza,,
233,"Monte, Cardinal Francesco del",,,
234,"Montefeltre, Federigo da",,,
235,"Monterey, Count of",,,
236,"Monterey, Count of",,employment of Ribera,
237,"Monterey, Count of",,purchase of Aldobrandini Titians from Ludovisi family,
238,Montesquieu,,,
239,"Monteverdi, Claudio",,,
240,"Monti, Francesco",,,
241,"Montorsoli, Giovanni",,,
242,"Morandi, Giammaria",,,
243,"Morelli, Jacopo",,,
244,"Morice, Sir William",,,
245,"Morlaiter, Michelangelo",,,
246,"Moroni, Giovanni Battista",,,
247,"Morosini, Francesco",,,
248,Morosini family,Venice,,
249,"Morris, Roger",,,
250,"Moscheni, Pietro",,,
251,"Moschini, Abate G. A.",,,
252,"Moscow, Venetian painting in",,,
253,"Motteux, Pierre",,,
254,"Mour, Jean-Baptiste Van",,,
255,"Mulier, Pietro",,,
256,"Munich, patronage in 17th century",,,
257,"Munich, Nymphenburg palace",,,
258,"Mura, Francesco de",,,
259,"Muratori, L. A.",,,
260,"Muratori, L. A.",,Della pubblica felicità oggetto de' buoni principi,
261,"Murray, John",,,
262,"Muziano, Girolamo",,,
